Titre,Prix,Adresse,Description
Bosch AdvancedAquatak 150 Idropulitrice,395 000 F Cfa,Pikine Dakar,"DettagliDettagliMaison et jardin Marchio BoschSorgente di alimentazione Con cavo elettricoColore Pulitore ad alta pressionePressione massima 150 BarPeso articolo 22,9 ChilogrammiLunghezza del tubo 8 MetriSpecifica soddisfatta CSA, CEDimensioni del prodotto 44,6L x 40,4L x 86,4H cmVolume serbatoio 480 LitriPortata massima 480 Litri all'ora
À propos de cet articleIl a une puissance de 2.200 WTempérature d'alimentation 40°CIl a un débit maximal de 500 l/hIl a un design compactDescriptionDescriptionAvec le nettoyeur haute pression Bosch Advanced Aquatak 150, vous pouvez éliminer avec succès la saleté la plus tenace, ce qui vous permet d'obtenir des résultats vraiment époustoufluants. La pompe en métal durable est extrêmement compacte et avec une efficacité optimisée ; elle est ainsi beaucoup moins surchargée et peut durer beaucoup plus longtemps. De plus, grâce au cylindre supplémentaire, la pompe QUAD garantit une force de nettoyage exceptionnelle. La structure robuste et ergonomique est extrêmement stable et garantit une prise en main sûre. De plus, il est pratique et léger, avec de grandes roues de 800 mm de haut et une poignée de levage secondaire qui permet un transport facile n'importe où avec peu d'effort... un véritable concentré de puissance !Contenu de l'emballageBuse de nettoyage haute pression, lance rotative et lance à jet variable fournis
Détails du produitProducteur	 BoschCode de l'article	 06008A7700Dimensions du produit	 36 x 37 x 90 cm ; 22,9 kgNuméro de modèle d'article	 06008A7700Dimensions	 86.4 x 44.6 x 40.4 cmCouleur	 Nettoyeur haute pressionStyle	 Nettoyeur haute pression 150 barMatériel	 PlastiqueModèle	 CélibataireType d'alimentation	 Avec un câble électriquePuissance	 2200 wattsNombre d'articles	 1Nombre de pièces	 1Portée	 480 litres par heureLongueur du tuyau	 8 MètresSystème de mesure	 MétriqueCertification	 CSA, CEBatteries/Piles incluses ?	  NonBatteries/piles nécessaires ?	  NonPoids de l'article	 22,9 Kilogrammes"
Lit médicalisé électrique,400 000 F Cfa,Liberte 6 Dakar,"Bonjour je vend un superbe lit d'hôpital pour malade.
Il a deux barrières latérales et on peut régler le dossier, la hauteur du lit et les jambes d'un petit geste de télécommande. Une pépite pour les personnes alitées."
"Electostimulateur pro 4 en 1. TENS, EMS, IF, RUSS",65 000 F Cfa,Thiès Thiès,"TENS EMS IF RUSS Dvice (4 thérapies en un seul appareil).
IF est le courant interférentiel.  RUSS est la stimulation russe.IF et RUSS appartiennent à la catégorie des moyennes-hautes fréquences. La fréquence se situe entre 2000 et 5000 Hz.AvantagesUn total de 60 programmes (Mode).TENS： 23 programmes fixes et 2 programmes réglables.EMS： 13 programmes fixes et réglables.IF :  8 programmes fixes et réglables.RUSS : 8 programmes fixes et réglablesQu'est-ce que le courant interférentiel ?
Le courant interférentiel applique deux fréquences différentes qui interfèrent l'une avec l'autre pour produire un courant de moyenne fréquence dans les tissus.Le courant interférentiel est une haute fréquence (4000 Hz), alors que le TENS est généralement délivré à 125 Hz. Lorsque le courant est appliqué à la peau, la résistance de la peau diminue à mesure que la fréquence des impulsions augmente. Ainsi, le courant interférentiel traverse la peau plus facilement et avec moins de stimulation que le TENS. Le courant interférentiel atteint de plus grandes profondeurs et un plus grand volume de tissu que les autres formes d'électrothérapie.
Nous avons installé deux transformateurs dans l'appareil, de sorte que le courant traverse la peau avec plus de facilité et atteint des profondeurs et des volumes de tissus plus importants. L'effet du traitement est donc bien meilleur.De nombreuses machines TENS sur le marché ne peuvent stimuler que la surface de la peau et ont des effets thérapeutiques médiocres， parce qu'il n'y a pas de transformateurs."
Perceur,30 000 F Cfa,Ouakam Dakar,perceur
"Harnais de securite , de positionnement, Harnais antichute,",98 000 F Cfa,Nord foire Dakar,"Harnais antichute, Systèmes de maintien au poste de travail,
Antichutes à rappel automatiqueCes systèmes sont destinés à permettre à un utilisateur d'atteindre des zones ou des positions où il existe un risque de chute. Ils doivent donc arrêter cette chute si elle se produit, puis assurer la suspension de l'opérateur après l'arrêt de la chute. Un tel système se compose toujours d'un point d'ancrage, d'un harnais antichute comme dispositif de maintien du corps relié au point d'ancrage par un élément de liaison comportant une fonction d'absorption d'énergie."
Grillage et installation complète,1 F Cfa,Nguekhokh Thiès,"Entreprises menuiserie et la fabrication de grillage
Grillage et installation complète et les portes métalliques
Route de mbour à côté de la station Star énergie
Livraison immédiate !!"
Portes métalliques,1 F Cfa,Nguekhokh Thiès,"Entreprises menuiserie et la fabrication de grillage
Grillage et installation complète et les portes métalliques
Route de mbour à côté de la station Star énergie
Livraison immédiate !!"
Chauffe eau solaire HAIER,300 000 F Cfa,Liberte 6 extension Dakar,"Notre nouveau stock de chauffe-eau est arrivé. Profitez d'une eau chaude constante et d'économies d'énergie avec nos modèles haut de gamme de 150L, 200L et 300L"
TOTEM ÉCRAN TACTILE 55″,N/A,Hann Bel-Air Dakar,"Ecran : 55″
Résolution : 1920×1080
Luminosité : 400 cd/m²
Tactile : Tactile infrarouge 10 points
Configuration du système	
CPU	Intel Core i3-3217M (BGA) @ 1.8 GHz
Taille de la mémoire max	4GB (max 8GB) DDR3L 1333
SSD	64GB (128GB en option)
Processeur	Intel® HD Graphics for Intel Atom® Processor Z3700 Series
OS	Windows 10 PRO (64-bit)
Realtek driver	Realtek 8105E 10/100 MB
Haut-parleurs	Intégré 5W/8Ω * 2
Réseau	
LAN	100M / 1000M
WIFI	WIFI (802.11 b/g/n)
Interface	1DC_IN; 2USB(3.0); 2USB(2.0); 1MIC (entrée);1HDMI(sortie):1LAN_ RJ;1PHONE(sortie);1VGA
Alimentation	
Entrée	AC110-240V, 50-60 Hz
Puissance Max.	< 68 W
Structure	
Dimensions	1915 x 794.6 x 38mm
Dimensions carton	1968 x 870 x 160mm / ±5mm
Poids	33.6 kg
Verre	Verre trempé de 4mm
Matériau du boîtier	Cadre en aluminium passe par le processus d'oxydation; couverture arrière avec peinture noire
Environnement	
Température de fonctionnement	0° - +50%C
Humidité de fonctionnement	30% - 70%
Température de stockage	-20° - +60°C
Humidité de stockage	30% - 70%"
Machine coudre sacs,1 F Cfa,Plateau Dakar,Machine coudre sacs
Location TRACTEUR AGRICOLE LABOUR,30 000 F Cfa,Mbour Thiès,"Réalisation de tous travaux agricoles, transport benne TP, transport avec porte chars.Location tracteur et chauffeur.Travaux de pelle à chenille , arrachage vigne, souche, terrassement, tranché ect..Votre location d'un Tracteur avec chauffeur sur-mesure.L'organisation de vos travaux est une chose à ne pas négliger et qui doit être bien réglée, surtout lorsque l'on est professionnels .L'agriculture, est une question prioritaire : faut-il travailler manuellement ou mécaniquement ? Très logiquement, Mécaniquement FAIRE FAIRE PLUS TOT QUE DE FAIRE est une solution pratique : économie d'énergie (fatigue temps et usure) puisqu'un tracteur va absorbé cette charge mais également vous faire gagner du temps et risques gestion du personnel et j'en pass ....Que vous un soyez un particulier ou un professionnel, nous pouvons réaliser vos travaux .On s'adapte à tous vos projets et vous garantit un service sérieux avec un chauffeur professionnel. Alors, pourquoi faire compliqué quand on peut faire simple ?Nous gérons vos travaux de A à Z optimisation de vos surface conseils
Si vous songez l'exploitation de vos terre notre groupe s'impose comme l'intermédiaire de prédilection pour organiser vos travaux . Travaillant avec des coopérative et entreprise sur l'agropole ouest , nous vous proposons de gérer complètement vos travaux. Et grâce à nos nombreux partenariats, nous vous proposons un devis gratuit et immédiat pour la prestation de votre choix."
Réservoir d'eau,N/A,Hann maristes Dakar,Réservoir d'eau qualité alimentaire de 200L à 12.000L
Tableau padex,55 000 F Cfa,Hann maristes Dakar,"Tableau padex 70 x 100 cm trépied et sur roulettes disponible neuf de très bonne qualité.
Le prix varie selon le modèle."
Menuiserie aluminium,80 000 F Cfa,Parcelles Assainies Dakar,"DDA est actuellement un des principaux acteurs locaux dans la fourniture et la pose d'ouvrages en aluminium, fer, inox, alucobond, double vitrage, thermolaquage."
Perceur,30 000 F Cfa,Ouakam Dakar,perceur
"Panneaux solaires, Batteries solaires , Onduleurs solaires",N/A,Pikine Dakar,"Nous vous offrons des solutions pour vos installations solaires...
Vous pouvez avoir des systèmes autonomes ou des systèmes à autoconsommation... cela dépend de votre choix."
Blink Video Doorbell,70 000 F Cfa,Grand-Yoff Dakar,"Sonnette vidéo clignotante | Audio bidirectionnel, vidéo HD, alertes d'application de mouvement et de carillon et Alexa activé - avec ou sans fil (noir).Répondez à votre porte, où que vous soyez, depuis votre smartphone grâce à la vidéo HD 1080p de jour et de nuit infrarouge et à l'audio bidirectionnel.
Bénéficiez d'une autonomie longue durée, d'alertes personnalisées, de paramètres de confidentialité et bien plus encore.Recevez des alertes lorsqu'un mouvement est détecté ou que quelqu'un appuie sur la sonnette vidéo. Connectez-vous au câblage de la sonnette existant ou associez-le à un module de synchronisation (vendu séparément) pour activer la visualisation en direct et l'audio bidirectionnel à la demande.Choisissez d'enregistrer et de partager des clips dans le cloud avec un essai gratuit de 30 jours du plan d'abonnement Blink ou localement avec le module de synchronisation 2 et la clé USB (chacun vendu séparément).Conçu pour chaque maison, passez au sans fil ou connectez-vous au câblage de la sonnette pour faire retentir également votre carillon existant dans la maison. Sans câblage, vous pouvez utiliser votre caméra Blink Mini (vendue séparément) comme carillon intérieur enfichable.Installez-vous en quelques minutes avec les deux piles au lithium AA incluses, puis connectez-vous au Wi-Fi dans l'application.Fonctionne avec Alexa : recevez des alertes et répondez avec un son bidirectionnel. Lorsqu'il est câblé ou associé à un module de synchronisation, demandez simplement à Alexa de répondre à la porte d'entrée.Comprend une sonnette vidéo, 2 piles au lithium AA 1,5 V, 4 vis, 1 outil d'ouverture de boîtier.Authentique | Neuf Scellé | Vends avec Facture | Garanti 1an | Livraison très Rapide."
Canne pliante télescopique pliable LED,10 000 F Cfa,Nord foire Dakar,"Canne pliante télescopique pliable LED avec lampe torche, béquille de marche chaise. Très légère et résistante pour personnes âgées, handicapés et sportifs."
Motos Cross Enduro,1 F Cfa,Castor Dakar,"Moto CROSS enduro pour professionnels
Dirt bike
Moto trial"
Tricycles 5 roues,1 F Cfa,Castor Dakar,"Moto Tricycle 5 roues disponibles avec carte grise, plaque et assurance 12 mois."
"DS-K1T8003MF : POINTAGE : EMPREINTE, CARTE ET CODE",60 000 F Cfa,Liberte 2 Dakar,"HIKVISION DS-K1T8003MF : EMPREINTE, CARTE ET CODE
Terminal de contrôle d'accès d'empreintes digitales à écran LCD de 2,4 pouces, module de lecture de carte Mifare intégré
Communication : TCP/IP，ISUP5.0 ； 1000 utilisateurs, 1000 empreintes digitales，1000 cartes et Max. 100 000 enregistrements d'événements
Prise en charge du contrôle d'accès et de la fonction de présence, module d'empreintes digitales optiques
Ouvre la porte à distance via le client mobile Hik-Connect ; alarme de sabotage.
Catégorie : Contrôle A"
Air fryer,1 F Cfa,Pikine Dakar,"Bonjours nous mettons en vente des air fryers  6 l 8 l  et 15l l et des tasses en céramique pour le Ramadan, merci de votre confiance"
Machine à sceller à pédale découpe de film Scelleuse de sac,85 000 F Cfa,Plateau Dakar,"Étanchéité rapide, étanchéité douce, opération simple
2. Chaleur instantanée, pas besoin d'attendre
3. Réglage à plusieurs niveaux, facile à utiliser
4. Il peut être scellé pour une large gamme d'application sèche et humide
5. Longueur d'étanchéité: 400 mm
6. Largeur de scellage: 2-3 mm en option
7. Tension d'alimentation: 22V / 50Hz
8. Temps de scellage: 1-3 secondes
9. Poids du produit: pédale 300 type: poids net 7,16 kg, pédale 400 type: poids net 7,68 kg, pédale 500 type: poids net 8,22 kg, pédale 600 type: poids net 8,56 kg, pédale 700 type: poids net 8,92 kg"
GROUPE ELECTROGENE 20 A 30 KVA LOCATION,22 500 F Cfa,Mbour Thiès,"Groupe électrogène disposant d'une puissance de 20 kVA et est équipé de prises 32A, 16A et 220V pour vous fournir en électricité sur vos chantiers. Obtenez une source de courant déplaçable avec suffisamment d'intensité pour alimenter vos engins ou votre base vie grâce à ce groupe électrogène DCA en location chez SNIPER. Ce groupe électrogène est équipé de poutres-caisson + remorque lui permettant ainsi d'être déplacé n'importe où. Dimensions du groupe électrogène 20 kVA : 1.54 m x 0.65 m x 1.05 m (L x l x h).
Caractéristiques
Puissance Continu (kVA)
20.00 kVA
Intensité (A)
30.40 A
Autonomie (h)
15.00 h
Capacité réservoir GNR (l)
62.00 l
Consommation (l/h)
3.90 l/h
Poids (kg) (à vide)
640.00 kg
Poids (kg) (en ordre de marche)
713.00 kg
Sortie alternatif
380.00 V
Dimensions - Longueur (m)
1.54 m
Dimensions - Largeur (m)
0.65 m
Dimensions - Hauteur (m)
1.05 m
Niveau de pression acoustique @1m dB(A) (LwA)
85.00 db
Niveau de pression acoustique @1m dB(A) (db(A) à 7m)
62.00 db"
